,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
211,0.007964336210278575,048,PCA,3,NOS,Cognition,all
212,-0.015014786518941212,048,PCA,4,NOS,Cognition,all
213,0.0641034660480598,048,PCA,5,NOS,Cognition,all
214,0.06399800938778444,048,PCA,10,NOS,Cognition,all
215,0.043372049690781164,048,PCA,15,NOS,Cognition,all
216,0.06115357017672058,048,PCA,20,NOS,Cognition,all
217,0.05716080597891933,048,PCA,30,NOS,Cognition,all
218,0.07987073080405085,048,PCA,40,NOS,Cognition,all
219,0.07392691573261566,048,PCA,50,NOS,Cognition,all
220,0.07335291100262402,048,PCA,60,NOS,Cognition,all
221,0.08164572198607634,048,PCA,70,NOS,Cognition,all
222,0.08229032001578553,048,PCA,80,NOS,Cognition,all
223,0.08257004571381574,048,PCA,90,NOS,Cognition,all
224,0.08752913728776203,048,PCA,100,NOS,Cognition,all
225,0.08171836508726002,048,PCA,150,NOS,Cognition,all
226,0.07880497498625806,048,PCA,200,NOS,Cognition,all
227,0.07525500288327984,048,PCA,48,NOS,Cognition,all
228,-0.04820686930790845,056_C,PCA,1,MD,Cognition,all
229,-0.021721629427776872,056_C,PCA,2,MD,Cognition,all
230,-0.03804232275565069,056_C,PCA,3,MD,Cognition,all
231,-0.0645832249708643,056_C,PCA,4,MD,Cognition,all
232,-0.07758438818190541,056_C,PCA,5,MD,Cognition,all
233,-0.08668310486571315,056_C,PCA,10,MD,Cognition,all
234,-0.015896475808265382,056_C,PCA,15,MD,Cognition,all
235,0.024063342663154078,056_C,PCA,20,MD,Cognition,all
236,0.0579342000196774,056_C,PCA,30,MD,Cognition,all
237,0.06873078442356487,056_C,PCA,40,MD,Cognition,all
238,0.11831566874801908,056_C,PCA,50,MD,Cognition,all
239,0.13784740385388713,056_C,PCA,60,MD,Cognition,all
240,0.139894769299359,056_C,PCA,70,MD,Cognition,all
241,0.14336905357156307,056_C,PCA,80,MD,Cognition,all
242,0.14608235414026613,056_C,PCA,90,MD,Cognition,all
243,0.14799248294477815,056_C,PCA,100,MD,Cognition,all
244,0.15116694185173013,056_C,PCA,150,MD,Cognition,all
245,0.13511907733762057,056_C,PCA,200,MD,Cognition,all
246,0.13215052631943447,056_C,PCA,56,MD,Cognition,all
247,-0.029666860695708532,056_C,PCA,1,FA,Cognition,all
248,-0.03792040671944499,056_C,PCA,2,FA,Cognition,all
249,-0.006711154784690277,056_C,PCA,3,FA,Cognition,all
250,0.04408035594628434,056_C,PCA,4,FA,Cognition,all
251,0.02672953046963602,056_C,PCA,5,FA,Cognition,all
252,-0.01870307422231708,056_C,PCA,10,FA,Cognition,all
253,0.050340199478879966,056_C,PCA,15,FA,Cognition,all
254,0.07778090538630905,056_C,PCA,20,FA,Cognition,all
255,0.09785932238707601,056_C,PCA,30,FA,Cognition,all
256,0.1065143211820682,056_C,PCA,40,FA,Cognition,all
257,0.135182021191064,056_C,PCA,50,FA,Cognition,all
258,0.14783478504037853,056_C,PCA,60,FA,Cognition,all
259,0.1566866584290943,056_C,PCA,70,FA,Cognition,all
260,0.16552665455783142,056_C,PCA,80,FA,Cognition,all
